predicted,real,reducedByNumber,reducedByPercent,MSEValue,RMSEValue,MAEValue
1.091880341880342,3.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
2.8881396756988083,3.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
3.9057481933073257,4.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
3.288139675698808,3.5,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
3.445607258205812,4.5,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
4.061813628510543,3.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
4.7235683959821895,3.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
3.7346743295019156,2.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
2.7346743295019156,4.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
3.7346743295019156,3.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
3.7383040935672516,1.0,14,0.1,1.5403772553093928,1.2411193557871028,0.9027746644836288
1.1266025641025643,3.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
4.2295673076923075,3.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.755208333333333,4.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.8485416666666667,4.5,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.8485416666666667,2.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
2.95832264957265,3.5,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.445785984848485,1.5,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.1778846153846154,4.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
2.4158333333333335,3.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
2.4158333333333335,4.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.4158333333333335,3.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
2.4158333333333335,2.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
0.4158333333333335,2.5,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.2443181818181817,3.5,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
4.244318181818182,4.0,28,0.2,0.7622763139978265,0.873084368201508,0.5264822070290821
3.2561431980199487,3.0,42,0.30000000000000004,1.007721544168917,1.003853347939288,0.6911610577545874
3.5951634415515823,4.0,42,0.30000000000000004,1.007721544168917,1.003853347939288,0.6911610577545874
2.2873078434913787,4.0,42,0.30000000000000004,1.007721544168917,1.003853347939288,0.6911610577545874
